=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.10.12 22:12:05 =~=~=~=~=~=~=~=~=~=~=~=
7,13176,L2,-552670,961
L,1339913,13009,L2,-551473,949
L,1339799,13008,L2,-551462,949
L,1339733,13008,L2,-551396,949
L,1339660,13007,L2,-551438,949
L,1339593,13006,L2,-551436,949
L,1339554,13006,L2,-551441,949
L,1339519,13005,L2,-551475,949
L,1339458,13005,L2,-551463,949
L,1339387,13004,L2,-551411,949
L,1339340,13004,L2,-551399,949
L,1339277,13003,L2,-551426,949
L,1339159,13002,L2,-551393,949
L,1339094,13001,L2,-551414,949
L,1339079,13001,L2,-551446,949
L,1339039,13001,L2,-551387,949
L,1338960,13000,L2,-551352,948
L,1338856,12999,L2,-551449,949
L,1338826,12998,L2,-551460,949
L,1338814,12998,L2,-551459,949
L,1338806,12998,L2,-551405,949
L,1338623,12996,L2,-551374,948
L,1338612,12996,L2,-551344,948
L,1338574,12996,L2,-551340,948
L,1338450,12995,L2,-551367,948
L,1338395,12994,L2,-551316,948
L,1338412,12994,L2,-551304,948
L,1338352,12994,L2,-551317,948
L,1338274,12993,L2,-551343,948
L,1338216,12992,L2,-551297,948
L,1338196,12992,L2,-551304,948
L,1338165,12992,L2,-551314,948
L,1338040,12991,L2,-551325,948
L,1338032,12991,L2,-551303,948
L,1338005,12990,L2,-551268,947
L,1337899,12989,L2,-551293,948
L,1337889,12989,L2,-551276,947
L,1337868,12989,L2,-551287,948
L,1337835,12989,L2,-551287,948
L,1337778,12988,L2,-551274,947
L,1337641,12987,L2,-551321,948
L,1337589,12986,L2,-551333,948
L,1337583,12986,L2,-551309,948
L,1337535,12986,L2,-551280,948
L,1337419,12984,L2,-551278,948
L,1337316,12983,L2,-551289,948
L,1337349,12984,L2,-551320,948
L,1337292,12983,L2,-551265,947
L,1337237,12983,L2,-551275,947
L,1337177,12982,L2,-551198,947
L,1337176,12982,L2,-551249,947
L,1337128,12981,L2,-551299,948
L,1337054,12981,L2,-551240,947
L,1337084,12981,L2,-551191,947
L,1336991,12980,L2,-551235,947
L,1336917,12979,L2,-551228,947
L,1336845,12979,L2,-551215,947
L,1336809,12978,L2,-551245,947
L,1336817,12978,L2,-551148,946
L,1336629,12976,L2,-551179,947
L,1336638,12977,L2,-551196,947
L,1336569,12976,L2,-551211,947
L,1336509,12975,L2,-551204,947
L,1336514,12975,L2,-551208,947
L,1336451,12975,L2,-551224,947
L,1336452,12975,L2,-551232,947
L,1336447,12975,L2,-551230,947
L,1336403,12974,L2,-551198,947
L,1336290,12973,L2,-551157,946
L,1336220,12972,L2,-551110,946
L,1336129,12971,L2,-551165,946
L,1336098,12971,L2,-551144,946
L,1336132,12972,L2,-551106,946
L,1336152,12972,L2,-551154,946
L,1336052,12971,L2,-551137,946
L,1336024,12970,L2,-551133,946
L,1336008,12970,L2,-551154,946
L,1335816,12968,L2,-551174,946
L,1335766,12968,L2,-551139,946
L,1335717,12967,L2,-551051,945
L,1335693,12967,L2,-551057,945
L,1335661,12967,L2,-551077,945
L,1335643,12967,L2,-551143,946
L,1335585,12966,L2,-551105,946
L,1335570,12966,L2,-551064,945
L,1335509,12965,L2,-551080,946
L,1335432,12965,L2,-551102,946
L,1335362,12964,L2,-551140,946
L,1335335,12964,L2,-551077,945
L,1311177,12722,L2,-550975,944
L,1001822,9628,L2,-550031,935
L,484709,4457,L2,-547207,907
L,301052,2621,L2,-544854,883
L,288499,2495,L2,-544436,879
L,290809,2518,L2,-544494,880
L,292454,2535,L2,-544531,880
L,294421,2554,L2,-544523,880
L,295135,2562,L2,-544551,880
L,295779,2568,L2,-544605,881
L,296325,2573,L2,-544549,880
L,296821,2578,L2,-544593,881
L,297190,2582,L2,-544585,881
L,297538,2586,L2,-544639,881
L,297814,2588,L2,-544642,881
L,298136,2592,L2,-544647,881
L,298493,2595,L2,-544617,881
L,261223,2222,L2,-544584,881
L,68180,292,L2,-544385,879
L,-124610,1635,L2,-544280,878
L,-165083,2040,L2,-545138,886
L,-155959,1948,L2,-545249,887
L,-153477,1924,L2,-545266,887
L,-152262,1911,L2,-545318,888
L,-151373,1903,L2,-545314,888
L,-150633,1895,L2,-545299,888
L,-149550,1884,L2,-545326,888
L,-149083,1880,L2,-545357,888
L,-148702,1876,L2,-545414,889
L,-148381,1873,L2,-545388,889
L,-148063,1869,L2,-545381,889
L,-147748,1866,L2,-545436,889
L,-147426,1863,L2,-545403,889
L,-149568,1885,L2,-545405,889
L,-171808,2107,L2,-545986,895
L,-175777,2147,L2,-547236,907
L,-149126,1880,L2,-547483,910
L,-144548,1834,L2,-547473,909
L,-144057,1829,L2,-547612,911
L,-143768,1827,L2,-547632,911
L,-143603,1825,L2,-547564,910
L,-143411,1823,L2,-547652,911
L,-143181,1821,L2,-547728,912
L,-143046,1819,L2,-547726,912
L,-142981,1819,L2,-547713,912
L,-142701,1816,L2,-547754,912
L,-142625,1815,L2,-547804,913
L,-142502,1814,L2,-547820,913
L,-142375,1813,L2,-547831,913
L,-142737,1816,L2,-547847,913
L,-153215,1921,L2,-547799,913
L,-152654,1915,L2,-543415,869
L,-96471,1354,L2,-538192,817
L,-42336,812,L2,-536747,802
L,-28989,679,L2,-536855,803
L,-28793,677,L2,-536912,804
L,-28744,676,L2,-537027,805
L,-28709,676,L2,-537124,806
L,-28653,675,L2,-537152,806
L,-28673,676,L2,-537216,807
L,-28735,676,L2,-537283,808
L,-28713,676,L2,-537446,809
L,-28779,677,L2,-537488,810
L,-28755,676,L2,-537495,810
L,-28797,677,L2,-537489,810
L,-33354,722,L2,-537467,809
L,-33389,723,L2,-535084,786
L,12593,263,L2,-527080,706
L,69232,303,L2,-519071,625
L,92120,531,L2,-516961,604
L,94112,551,L2,-517240,607
L,94711,557,L2,-517724,612
L,95159,562,L2,-517855,613
L,95807,568,L2,-517958,614
L,96017,570,L2,-518094,616
L,96212,572,L2,-518246,617
L,96395,574,L2,-518302,618
L,96605,576,L2,-518333,618
L,96737,578,L2,-518443,619
